"","PlotID","TaxonID","Freq"
"1","Brightwen","Acer",1
"2","Brightwen","Acrias",1
"3","Brightwen","Allium",2
"4","Brightwen","Araucaria",3
"5","Brightwen","Aristolochia",1
"6","Brightwen","Begonia",1
"7","Brightwen","Betula",1
"8","Brightwen","Bignonia",1
"9","Brightwen","Bougainvillia",2
"10","Brightwen","Bunium",1
"11","Brightwen","Calceolaria",1
"12","Brightwen","Campanula",1
"13","Brightwen","Camphora",1
"14","Brightwen","Carex",3
"15","Brightwen","Chrysanthemum",1
"16","Brightwen","Ciscuta",1
"17","Brightwen","Cissus",1
"18","Brightwen","Clematis",1
"19","Brightwen","Collomia",1
"20","Brightwen","Convolvulus",1
"21","Brightwen","Cuscuta",1
"22","Brightwen","Datura",2
"23","Brightwen","Dentaria",1
"24","Brightwen","Drosera",1
"25","Brightwen","Eucalyptus",7
"26","Brightwen","Euonymus",2
"27","Brightwen","Euphorbia",1
"28","Brightwen","Gloxinia",1
"29","Brightwen","Heracleum",1
"30","Brightwen","Hippuris",1
"31","Brightwen","Hoya",2
"32","Brightwen","Hydrangea",1
"33","Brightwen","Hypericum",1
"34","Brightwen","Libera",2
"35","Brightwen","Linnea",1
"36","Brightwen","Martynia",1
"37","Brightwen","Melampyrum",1
"38","Brightwen","Nepenthes",2
"39","Brightwen","Oina",1
"40","Brightwen","Orchid",1
"41","Brightwen","Orchis",1
"42","Brightwen","Oxalis",1
"43","Brightwen","Petunia",1
"44","Brightwen","Pinguicula",1
"45","Brightwen","Pinus",2
"46","Brightwen","Polytrichum",1
"47","Brightwen","Psamma",2
"48","Brightwen","Rafflesia",1
"49","Brightwen","Salvia",4
"50","Brightwen","Sarracenia",2
"51","Brightwen","Saxifraga",2
"52","Brightwen","Stapelia",1
"53","Brightwen","Stipa",2
"54","Brightwen","Tillandsia",1
"55","Brightwen","Tillmidsia",1
"56","Brightwen","Tricyrtis",1
"57","Brightwen","Vallisneria",1
