Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Theaceae,Camellia,Camellia sinensis,,Tea
Arecaceae,Elaeis,Elaeis guineensis,,Oil Palm
Solanaceae,Nicotiana,Nicotiana tabacum,,Tobacco
Poaceae,Saccharum,Saccharum officinarum,,Sugar cane
Solanaceae,Solanum,Solanum lycopersicum,,Tomato
Solanaceae,Solanum,Solanum tuberosum,,Potato
Poaceae,Triticum,Triticum aestivum,,Wheat
Vitaceae,Vitis,Vitis vinifera,,Grape
Poaceae,Zea,Zea mays,,Corn
Rutaceae,Citrus,Citrus limon,,Citrus
Malvaceae,Gossypium,Gossypium arboreum,,Cotton
Poaceae,Poa,Poa pratensis,,Prairie grass/ bluegrass
Poaceae,Oryza,Oryza sativa,,Rice
Rosaceae,Rosa,Rosa rugosa,,Roses
Pinaceae,Pinus,Pinus strobus,,Pine tree
Musaceae,Musa,Musa acuminata,,Banana/plantain
Moraceae,Ficus,Ficus carica,,Figs
Fagaceae,Quercus,Quercus rubra,,Oak tree
Sapindaceae,Acer,Acer saccharum,,Maple tree (sugar maple)
Oleaceae,Olea,Olea europaea,,Olive
Salicaceae,Salix,Salix alba,,Salix (aspirin)/Willow
Orchidaceae,Vanilla,Vanilla planifolia,,Vanilla
Brassicaceae,Arabidopsis,Arabidopsis thaliana,,Arabidopsis
Rosaceae,Fragaria,Fragaria virginiana,,Strawberry
Magnoliaceae,Magnolia,Magnolia virginiana,,Magnolia
Moraceae,Hevea,Hevea brasiliensis,,Rubber/latex
Euphorbiaceae,Hordeum,Hordeum vulgare,,Barley
Rosaceae,Malus,Malus pumila,,Apple
Amaranthaceae,Beta,Beta vulgaris,,Sugar beet
Orchidaceae,Orchis,Orchis militaris,,Orchid
Lauraceae,Persea,Persea americana,,Avocado
Amaranthaceae,Spinacia,Spinacia oleracea,,Spinach
Malvaceae,Theobroma,Theobroma cacao,,Cocoa
Asteraceae,Helianthus,Helianthus annuus,,Sunflowers
Rosaceae,Prunus,Prunus avium,,Cherry trees
Arecaceae,Cocus,Cocus nucifera,,Palms (in general)
Apiaceae,Coriandrum,Coriandrum sativum,,Cilantro
Apiaceae,Daucus,Daucus carota,,Carrots
Lamiaceae,Ocimum,Ocimum basilicum,,Basil
Rosaceae,Prunus,Prunus dulcis,,Almonds
Bromeliaceae,Ananas,Ananas comosus,,pineapple
Lamiaceae,Lavandula,Lavandula angustifolia,,lavender
Asteraceae,Taraxacum,Taraxacum officinale,,dandelion
Lamiaceae,Thymus,Thymus vulgaris,,thyme
Rosaceae,Prunus,Prunus persica,,peach
Polygonaceae,Rheum,Rheum rhabarbarum,,rhubarb
Adoxaceae,Sambucus,Sambucus canadensis,,elderflower
