"","Abies balsamea","Abies concolor","Acer palmatum","Acer rubrum","Acer saccharum","Adansonia digitata","Agave americana","Agrostemma githago","Allium cepa","Allium sativum","Aloe succotrina","Ammophila arenaria","Ananas comosus","Arabidopsis thaliana","Arachis hypogaea","Artemisia annua","Asclepias syriaca","Avena sativa","Bambusa affinis","Bellis perennis","Beta vulgaris","Betula lenta","Brassica oleracea","Brassica oleraceae","Brassica rapa","Buddleja americana","Calendula arvensis","Camellia sinensis","Camillia sinensis","Cannabis sativa","Capsicum annuum","Carnegia gigantea","Carnegiea gigantea","Carya glabra","Castanea dentata","Chenopodium quinoa","Chondrus crispus","Cinchona officinalis","Cinnamomum camphor","Cinnamonum camphora","Citrullus lanatus","Citrus limon","Citrus sinensis","Cocos nucifera","Cocus nucifera","Coffea arabica","Colocasia esculenta","Conium maculatum","Convallaria majalis","Coriandrum sativum","Cornus florida","Cucumis sativa","Cucurbita gigantea","Cucurbita maxima","Cucurbita pepo","Cymbopogon citratus","Cyperus papyrus","Daucus carota","Dicranum polysetum","Didierea madagascarensis","Dionaea muscipula","Dioscorea alata","Echinocactus grusonii","Elaeis guineensis","Eragrostis tef","Erythroxylum coca","Euphorbia pulcherrima","Fagus grandifolia","Ficus carica","Fragaria virginiana","Gardenia jasminoides","Gelidium mansii","Ginkgo biloba","Glycine max","Gossypium arboreum","Gossypium hirsuta","Gossypium hirsutum","Hedera helix","Helianthus annuus","Hevea brasiliensis","Hibiscus rosa-sinensis","Hordeum vulgare","Hyacinthus orientalis","Hydrangea macrophylla","Hyssopus officinalis","Ilex aquifolia","Ilex aquifolium","Ilex paraguariensis","Indigofera tinctoria","Ipomoea batatas","Iris germanica","Isatis tinctoria","Jasminum officinale","Juglans nigra","Laminaria hyperborea","Lantana camara","Larrea tridentata","Lavandula angustifolia","Lavendula angustifolia","Lens culinaris","Lilium candidum","Linum usitatissimum","Lonicera japonica","Lycopodium dendroidium","Macrocystis pyrifera","Magnolia virginiana","Malus pumila","Mandragora officinarum","Manihot esculenta","Medicago sativa","Mentha spicata","Mimosa pudica","Morus alba","Musa acuminata","Myristica fragrans","Nepeta cataria","Nicotiana tabacum","Nymphaea aquatica","Nymphoides aquatica","Ocimum basilicum","Olea europaea","Olea europea","Opuntia ficus-indica","Opuntia littoralis","Orchis militaris","Oryza sativa","Pachypodium lamerei","Pachysandra terminalis","Paeonia suffruticosa","Panicum virgatum","Papaver somniferum","Persea americana","Persicaria perfoliata","Petroselinum crispum","Phaseolus vulgaris","Phellodendron amurense","Philodendron bipinnatifidum","Phoenix dactylifera","Phragmites australis","Phytolacca americana","Picea abies","Pinus resinosa","Pinus strobus","Piper nigrum","Pisum sativum","Platanus occidentalis","Poa pratensis","Polystichum acrostichoides","Populus grandidentata","Populus tremuloides","Prunus armeniaca","Prunus avium","Prunus cerasus","Prunus dulcis","Prunus persica","Prunus serotina","Prunus serrulata","Pteridium aquilinum","Pyrus communis","Quercus rubra","Rheum rhabarbarum","Rosa rugosa","Rosmarinus officinalis","Rubus deliciosus","Rubus occidentalis","Rubus plicatus","Rubus strigosus","Rudbeckia hirta","Saccharum officinarum","Salix alba","Salix babylonica","Salvia americana","Salvia officinalis","Sambucus canadensis","Sarracenia purpurea","Senecio jacobea","Sequoia sempervirens","Sesamum indicum","Solanum lycopersicon","Solanum lycopersicum","Solanum melogena","Solanum melongena","Solanum tuberosum","Sorghastrum nutans","Sorghum bicolor","Spathiphyllum cochlearispathum","Spinacia oleracea","Spinacia oleraceae","Spirogyra porticalis","Stachys byzantina","Stevia rebaudiana","Synsepalum dulcificum","Taraxacum officinale","Taxodium distichum","Taxus baccata","Theobroma cacao","Thymus vulgaris","Tillandsia usneoides","Toxicodendron radicans","Toxicondendron radicans","Triticum aestivum","Tulipa gesneria","Tulipa gesneriana","Typha latifolia","Ulmus americana","Urtica dioica","Vaccinium corymbosum","Vaccinium macrocarpon","Vaccinium microcarpum","Vanilla planifolia","Vitis vinifera","Yucca filamentosa","Zea mays","Zingiber officinale"
"callahan",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1
"carolyn",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"clare",0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
"gershberg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"harris",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"izzy",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"jenna",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0
"julia",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
"meaghan",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0
"vivian",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
