Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Aceraceae,Acer,Acer rubrum,,maple
Pinaceae,Abies,Abies balsamea,,fir
Ginkgoaceae,Ginkgo,Ginkgo biloba,,ginkgo
Aceraceae,Acer,Acer palmatum,,japanese maple
Salicaceae,Salix,Salix babylonica,,weeping willow
Rutacea,Phellodendron,Phellodendron amurense,,amur corktree
Polygonaceae,Persicaria,Persicaria perfoliata,,mile a minute
Phytolaccaceae,Phytolacca,Phytolacca americana,,pokeberry
Buxaceae,Pachysandra,Pachysandra terminalis,,pachysandra
Apocynaceae,Pachypodium,Pachypodium lamerei,,pachypodium
Cactaceae,Echinocactus,Echinocactus grusonii,,barrel cactus
Fabaceae,Mimosa,Mimosa pudica,,sensitive plant
Malvaceae,Adansonia,Adansonia digitata,,baobab tree
Cupressaceae,Sequoia,Sequoia sempervirens,,redwood
Aquifoliaceae,Ilex,Ilex aquifolium,,american holley
Pinaceae,Picea,Picea abies,,spruce
Pinaceae,Pinus,Pinus strobus,,white pine
Pinaceae,Pinus,Pinus resinosa,,red pine
Platanaceae,Platanus,Platanus occidentalis,,sycamore
Juglandaceae,Juglans,Juglans nigra,,black walnut
Rosaceae,Prunus,Prunus serotina,,black cherry
Fagaceae,Castanea,Castanea dentata,,chestnut
Fagaceae,Fagus,Fagus grandifolia,,beech
Salicaceae,Populus,Populus grandidentata,,aspen
Betulaceae,Betula,Betula lenta,,birch
Cornaceae,Cornus,Cornus florida,,dogwood
Ulmaceae,Ulmus,Ulmus americana,,elm
Juglandaceae,Carya,Carya glabra,,hickory
Anacardiaceae,Toxicodendron,Toxicodendron radicans,,poison ivy
Lamiaceae,Salvia,Salvia americana,,sage
Lamiaceae,Thymus,Thymus vulgaris,,thyme
Lamiaceae,Ocimum,Ocimum basilicum,,basil
Rosaceae,Rosa,Rosa rugosa,,rose
Urticaceae,Urtica,Urtica dioica,,stinging nettle
Dryopteridaceae,Polystichum,Polystichum acrostichoides,,christmas fern
Sarracineaceae,Sarracenia,Sarracenia purpurea,,pitcher plant
Droseraceae,Dionaea,Dionaea muscipula,,venus fly trap
Asteraceae,Bellis,Bellis perennis,,daisy
Typhaceae,Typha,Typha latifolia,,cat tail
Zygnemataceae,Spirogyra,Spirogyra porticalis,,algae
Phaeophyceae,Laminaria,Laminaria hyperborea,,kelp
Salicaceae,Populus,Populus tremuloides,,quaking aspen
Aracaceae,Cocus,Cocus nucifera,,palm tree
Poaceae,Cymbopogon,Cymbopogon citratus,,lemongrass
Cactaceae,Opuntia,Opuntia ficus-indica,,paddle cacctus
Asparagaceae,Convallaria,Convallaria majalis,,lily of the valley
Nymphaceae,Nymphoides ,Nymphoides aquatica,,water lily
Cactaceae,Carnegia,Carnegia gigantea,,saguaro
Rosaceae,Malus,Malus pumila,,apple tree
Rutaceae,Citrus,Citrus limon,,lemon tree
