Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Gigartinaceae,Chondrus,Chondrus crispus,,irish moss
Rubiaceae,Gardenia,Gardenia jasminoides,,gardenia
Euphorbiaceae,Euphorbia,Euphorbia pulcherrima,,poinsettia
Asteraceae,Bellis,Bellis perennis,,daisy
Liliaceae,Lilium,Lilium candidum,,lily
Aceraceae,Acer,Acer rubrum,,maple tree
Fagaceae,Quercus,Quercus rubra,,oak
Pinaceae,Pinus,Pinus strobus,,pine
Aceraceae,Acer,Acer palmatum,,japanese maple
Hydrangeaceae,Hydrangea,Hydrangea macrophylla,,hydrangea
Cactaceae,Opuntia,Opuntia littoralis,,prickly pear
Cactaceae,Carnegiea,Carnegiea gigantea,,saguaro
Asparagaceae,Agave,Agave americana,,agave
Bromeliaceae,Tillandsia,Tillandsia usneoides,,spanish moss
Betulaceae,Betula,Betula lenta,,birch tree
Poaceae,Poa,Poa pratensis,,bluegrass
Aquifoliaceae,Ilex,Ilex aquifolia,,holly bush
Caprifoliaceae,Lonicera,Lonicera japonica,,honeysuckle
Rosaceae,Pyris,Pyrus communis,,pear tree
Rutaceae,Citrus,Citrus sinensis,,orange tree
Rosaceae,Malus,Malus pumila,,apple tree
Brassicaceae,Brassica,Brassica oleracea,,broccoli
Lamiaceae,Ocimum,Ocimum basilicum,,basil
Lamiaceae,Rosmarinus,Rosmarinus officinalis,,rosemary
Lamiaceae,Thymus,Thymus vulgaris,,thyme
Araceae,Spathiphyllum,Spathiphyllum cochlearispathum,,peace lily
Rosaceae,Fragaria,Fragaria virginiana,,strawberry
Lamiaceae,Mentha,Mentha spicata,,mint
Zygophyllaceae,Larrea,Larrea tridentata,,creosote
Paeoniaceae,Paeonia,Paeonia suffruticosa,,peony
Malvaceae,Theobroma,Theobroma cacao,,cacao
Cupressaceae,Sequoia,Sequoia sempervirens,,sequoia
Malvaceae,Hibiscus,Hibiscus rosa-sinensis,,hibiscus
Araliaceae,Hedera,Hedera helix,,ivy
Arecaceae,Cocos,Cocos nucifera,,palm tree
Rosaceae,Prunus,Prunus serrulata,,cherry blossom
Asteraceae,Helianthus,Helianthus annuus,,sunflower
Lamiaceae,Lavandula,Lavendula angustifolia,,lavender
Arecaceae,Phoenix,Phoenix dactylifera,,date palm
Malvaceae,Gossypium,Gossypium hirsutum,,cotton
Fabaceae,Glycine,Glycine max,,soybeans
Poaceae,Zea,Zea mays,,corn
Solanaceae,Nicotiana,Nicotiana tabacum,,tobacco
Asphodelaceae,Aloe,Aloe succotrina,,aloe
Poaceae,Poa,Poa pratensis,,bluegrass
Poaceae,Triticum,Triticum aestivum,,wheat
Rubiaceae,Coffea,Coffea arabica,,coffee
