Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants,
Salicaceae,Salix,Salix alba,,,Salix
Poaceae,Zea,Zea mays,,,corn
Fabaceae,Phaseolus,Phaseolus vulgaris,,,beans
Brassicaceae,Brassica,Brassica rapa,,,brassica for canola
Solanaceae,Solanum,Solanum lycopersicon,,,tomato
Poaceae,Saccharum,Saccharum officinarum,,,sugar cane
Solanaceae,Solanum,Solanum tuberosum,,,potato
Solanaceae,Sorghastrum,Sorghastrum nutans,,,prairie grasses
Liliaceae,Tulipa,Tulipa gesneria,,,tulips
Euphorbiaceae,Hevea,Hevea brasiliensis,,,rubber
Cannabaceae,Cannabis,Cannabis sativa,,,hemp
Malvaceae,Gossypium,Gossypium hirsuta,,,cotton
Oleaceae,Olea,Olea europea,,,olive
Vitaceae,Vitis,Vitis vinifera,,,grape
Theaceae,Camillia,Camillia sinensis,,,tea
Aceracea,Acer,Acer saccharum,,,maples for syrup
Gelidiaceae,Gelidium,Gelidium mansii,,,algae for agar
Laminariaceae,Macrocystis,Macrocystis pyrifera,,,seaweed
Cucurbitaceae,Cucurbita,Cucurbita pepo,,,squashes
Lamiaceae,Mentha,Mentha spicata,,,mint
Zingiberaceae,Zingiber,Zingiber officinale,,,ginger
Poaceae,Triticum,Triticum aestivum,,,wheat
Amaryllidaceae,Allium,Allium cepa,,,onions
Solanaceae,Nicotiana,Nicotiana tabacum,,,tobacco
Moraceae,Morus,Morus alba,,,mulberry for silk
Cyperaceae,Cyperus,Cyperus papyrus,,,papyrus
Aceraceae,Elaeis,Elaeis guineensis,,,oil palm
Araceae,Cocos,Cocos nucifera,,,palm coconuts
Poaceae,Ammophila,Ammophila arenaria,,,beach grass
Lauraceae,Persea,Persea americana,,,avocado
Apiaceae,Conium,Conium maculatum,,,hemlock (poison)
Sapotaceae,Synsepalum,Synsepalum dulcificum,,,miracle berry
Rutaceae,Citrus,Citrus limon,,,citrus
Apocynaceae,Asclepias,Asclepias syriaca,,,milkweed
Nymphaceae,Nymphaea,Nymphaea aquatica,,,water lily
Fabaceae,Indigofera,Indigofera tinctoria,,,indigo dye
Fabaceae,Pisum,Pisum sativum,,,pea
Rosaceae,Prunus,Prunus serrulata,,,cherry blossoms
Poaceae,Bambusa,Bambusa affinis,,,bamboo
Juglandaceae,Juglans,Juglans nigra,,,nuts (walnuts)
Liliaceae,Aloe,Aloe succotrina,,,aloe
Papaveraceae,Papaver,Papaver somniferum,,,opium poppy
Ericaceae,Vaccinium,Vaccinium corymbosum,,,berries
Araliaceae,Hedera,Hedera helix,,,ivy
Amaranthaceae,Chenopodium,Chenopodium quinoa,,,quinoa
Poaceae,Eragrostis,Eragrostis tef,,,teff
Malvaceae,Theobroma,Theobroma cacao,,,cocoa
Rubiaceae,Coffea,Coffea arabica,,,Coffea
Asteraceae,Helianthus,Helianthus annuus,,,sunflower
Amaranthaceae,Spinacia,Spinacia oleraceae,,,spinach
