Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Brassicaceae,Brassica,Brassica oleracea,Brassicas,"Brassicas (canola, cabbage)"
Theaceae,Camellia,Camellia sinensis,Tea,Tea
Cannabaceae,Cannabis,Cannabis sativa,Cannabis,Cannabis(/Hemp)
Rubiaceae,Coffea,Coffea arabica,Coffee,Coffee
Arecaceae,Elaeis,Elaeis guineensis,Oil Palm,Oil Palm
Solanaceae,Nicotiana,Nicotiana tabacum,Tobacco,Tobacco
Poaceae,Saccharum,Saccharum officinarum,Sugar cane,Sugar cane
Solanaceae,Solanum,Solanum lycopersicum,Tomato,Tomato
Solanaceae,Solanum,Solanum tuberosum,Potato,Potato
Poaceae,Triticum,Triticum aestivum,Bread wheat,Wheat
Vitaceae,Vitis,Vitis vinifera,Grape,Grape
Poaceae,Zea,Zea mays,Maize,Corn
Liliaceae,Tulipa,Tulipa gesneria,Tulip,Tulip
Rutaceae,Citrus,Citrus limon,Citrus,Citrus
Amaranthaceae,Chenopodium,Chenopodium quinoa,,Quinoa (amaranthus)
Moraceae,Morus,Morus alba,White mulberry,Mulberries
Fabaceae,Phaseolus,Phaseolus vulgaris,Broad bean,Beans
Poaceae,Bambuseae,Bambusa affinis,,Bamboo
Malvaceae,Gossypium,Gossypium hirsutum,Cotton,Cotton
Papaveraceae,Papaver,Papaver somniferum,Opium poppy,Poppies
Poaceae,Poa,Poa pratensis,Smooth meadow grass,Prairie grass/ bluegrass
Asparagales,Allium,Allium cepa,Alliums,Onions (allium)
Euphorbiaceae,Hevea,Hevea brasiliensis,Rubber,Rubber/latex
Cucurbitaceae,Cucurbita,Cucurbita pepo,,Squash/melon/luffa(cucurbs)
Fabaceae,Glycine,Glycine max,Soya,Soybean
Poaceae,Oryza,Oryza sativa,Rice,Rice
Piperaceae,Piper,Piper nigrum,Pepper,Black pepper
Rosaceae,Rosa,Rosa rugosa,Rose,Roses
Pinaceae,Pinus,Pinus strobus,Pines,Pine tree
Musaceae,Musa,Musa acuminata,Banana,Banana/plantain
Fabaceae,Arachis,Arachis hypogaea,,Peanuts
Solanaceae,Capsicum,Capsicum annuum,Chilli,Chilli peppers(hot)
Arecaceae,Cocos,Cocos nucifera,Coconut,Coconut (coco palm)
Poaceae,Hordeum,Hordeum vulgare,Barley,Barley
Rosaceae,Malus,Malus pumila,Apple,Apple
Moraceae,Ficus,Ficus carica,,Figs
Convolvulaceae,Ipomoea,Ipomoea batatas,,Sweet potato
Euphorbiaceae,Manihot,Manihot esculenta,,Cassava
Poaceae,Sorghum,Sorghum bicolor,,Sorghum
Fagaceae,Quercus,Quercus rubra,Oak,Oak tree
Poaceae,Avena,Avena sativa,,Oat
Amaranthaceae,Beta,Beta vulgaris,Beets,Sugar beet
Rubiaceae,Cinchona,Cinchona officinalis,Guinine (quinine),Quinine
Araceae,Colocasia,Colocasia esculenta,,Taro
Dioscoreaceae,Dioscorea,Dioscorea alata,,Yam
Erythroxylaceae,Erythroxylum,Erythroxylum coca,,Coca
Linaceae,Linum,Linum usitatissimum,,Flax
Fabaceae,Medicago,Medicago sativa,,Alfalfa
Rosaceae,Prunus,Prunus avium,,Prunus (includes cherry trees?)
Orchidaceae,Orchis,Orchis militaris,,Orchid
