Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Lamiaceae,Ocimum,Ocimum basilicum,,basil
Lamiaceae,Salvia,Salvia officinalis,,sage
Apiaceae,Petroselinum,Petroselinum crispum,,parsley
Pinaceae,Pinus,Pinus strobus,,pine
Pinaceae,Abies,Abies concolor,,fir
Hydrangeaceae,Hydrangea,Hydrangea macrophylla,,hydrangea
Asteraceae,Bellis,Bellis perennis,,daisy
Araceae,Philodendron,Philodendron bipinnatifidum,,philodendron
Magnoliaceae,Magnolia,Magnolia virginiana,,magnolia
Moraceae,Ficus,Ficus carica,,fig tree
Lamiaceae,Rosmarinus,Rosmarinus officinalis,,rosemary
Asteraceae,Calendula,Calendula arvensis,,calendula
Malvaceae,Hibiscus,Hibiscus rosa-sinensis,,hibiscus
Dennstaedtiaceae,Pteridium,Pteridium aquilinum,,fern
Aceraceae,Acer,Acer rubrum,,maple tree
Malvaceae,Adansonia,Adansonia digitata,,baobab
Poaceae,Zea,Zea mays,,corn
Solanaceae,Solanum,Solanum melogena,,eggplant
Oleaceae,Olea,Olea europaea,,olive
Poaceae,Saccharum,Saccharum officinarum,,sugarcane
Verbenaceae,Lantana,Lantana camara,,lantana
Asparagaceae,Hyacinthus,Hyacinthus orientalis,,hyacinth
Cupressaceae,Taxodium,Taxodium distichum,,cypress
Rosaceae,Rubus,Rubus plicatus,,blackberry
Caprifoliaceae,Lonicera,Lonicera japonica,,honeysuckle
Rosaceae,Prunus,Prunus cerasus,,sour cherry
Rosaceae,Malus,Malus pumila,,apple tree
Rosaceae,Prunus,Prunus avium,,cherry tree
Rosaceae,Rubus,Rubus deliciosus,,raspberry
Ericaceae,Vaccinium,Vaccinium corymbosum,,blueberry
Cucurbitaceae,Cucurbita,Cucurbita pepo,,squash
Cucurbitaceae,Cucurbita,Cucurbita gigantea,,pumpkin
Solanaceae,Solanum,Solanum lycopersicon,,tomato
Lamiaceae,Thymus,Thymus vulgaris,,thyme
Lamiaceae,Hyssopus,Hyssopus officinalis,,hyssop
Iridaceae,Iris,Iris germanica,,iris
Asteraceae,Taraxacum,Taraxacum officinale,,dandelion
Liliaceae,Tulipa,Tulipa gesneriana,,tulip
Lamiaceae,Stachys,Stachys byzantina,,lamb's ear
Convovulaceae,Ipomoea,Ipomoea batatas,,sweet potato vine
Asteraceae,Rudbeckia,Rudbeckia hirta,,black-eyed susan
Buddlejaceae,Buddleja,Buddleja americana,,butterfly bush
Didiereaceae,Didierea,Didierea madagascarensis,,octopus tree
Moraceae,Ficus,Ficus carica,,fig tree
Dicranaceae,Dicranum,Dicranum polysetum,,moss
Pinaceae,Abies,Abies balsamea,,balsam fir
Fagaceae,Quercus,Quercus rubra,,oak tree
