Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Brassicaceae,Brassica,Brassica oleracea,Brassicas,"Brassicas (canola, cabbage)"
Theaceae,Camellia,Camellia sinensis,Tea,Tea
Cannabaceae,Cannabis,Cannabis sativa,Cannabis,Cannabis(/Hemp)
Rubiaceae,Coffea,Coffea arabica,Coffee,Coffee
Arecaceae,Elaeis,Elaeis guineensis,Oil Palm,Oil Palm
Solanaceae,Nicotiana,Nicotiana tabacum,Tobacco,Tobacco
Poaceae,Saccharum,Saccharum officinarum,Sugar cane,Sugar cane
Solanaceae,Solanum,Solanum lycopersicum,Tomato,Tomato
Solanaceae,Solanum,Solanum tuberosum,Potato,Potato
Poaceae,Triticum,Triticum aestivum,Bread wheat,Wheat
Vitaceae,Vitis,Vitis vinifera,Grape,Grape
Poaceae,Zea,Zea mays,Maize,Corn
Liliaceae,Tulipa,Tulipa gesneriana,Tulip,Tulip
Rutaceae,Citrus,Citrus limon,Citrus,Citrus
Amaranthaceae,Chenopodium,Chenopodium quinoa,,Quinoa (amaranthus)
Moraceae,Morus,Morus alba,White mulberry,Mulberries
Fabaceae,Phaseolus,Phaseolus vulgaris,Broad bean,Beans
Sapindaceae,Acer,Acer saccharum,,Maple tree (sugar maple)
Nymphaeaceae,Nymphaea,Nymphaea aquatica,,Lilypad/waterlilies
Oleaceae,Olea,Olea europaea,Olive,Olive
Cyperaceae,Cyperus,Cyperus papyrus,Papyrus,Papyrus
Lauraceae,Persea,Persea americana,,Avocado
Amaranthaceae,Spinacia,Spinacia oleracea,,Spinach
Malvaceae,Theobroma,Theobroma cacao,Cocoa,Cocoa
Poaceae,Phragmites,Phragmites australis,Reeds,Reed
Asteraceae,Helianthus,Helianthus annuus,Sunflower,Sunflowers
Fabaceae,Glycine,Glycine max,Soya,Soybean
Poaceae,Oryza,Oryza sativa,Rice,Rice
Piperaceae,Piper,Piper nigrum,Pepper,Black pepper
Rosaceae,Rosa,Rosa rugosa,Rose,Roses
Pinaceae,Pinus,Pinus strobus,Pines,Pine tree
Musaceae,Musa,Musa acuminata,Banana,Banana/plantain
Fabaceae,Arachis,Arachis hypogaea,,Peanuts
Solanaceae,Capsicum,Capsicum annuum,Chilli,Chilli peppers(hot)
Arecaceae,Cocos,Cocos nucifera,Coconut,Coconut (coco palm)
Poaceae,Hordeum,Hordeum vulgare,Barley,Barley
Rosaceae,Malus,Malus pumila,Apple,Apple
Lauraceae,Cinnamomum,Cinnamomum camphor,,Cinnamon
Ericaceae,Vaccinium,Vaccinium corymbosum,,Blueberry
Orchidaceae,Vanilla,Vanilla planifolia,,Vanilla
Asparagaceae,Agave,Agave americana,,Agave
Apiaceae,Coriandrum,Coriandrum sativum,,Cilantro
Apiaceae,Daucus,Daucus carota,Carrot,Carrots
Myristicaceae,Myristica,Myristica fragrans,Nutmeg,Nutmeg
Lamiaceae,Nepeta,Nepeta cataria,,Catnip
Lamiaceae,Ocimum,Ocimum basilicum,,Basil
Rosaceae,Prunus,Prunus dulcis,,Almonds
Asteraceae,Stevia,Stevia rebaudiana,,Stevia
Rosaceae,Pyrus,Pyrus communis,,Pear
Asparagaceae,Yucca,Yucca filamentosa,,Yucca
Cucurbitaceae,Cucurbita,Cucurbita pepo,,Pumpkins
